ID;createdAt;createdBy;modifiedAt;modifiedBy;fiscalYear;companyCode;documentDate;postingDate;supInvParty;documentCurrency;invGrossAmount;statusFlag;documentId
0891c370-62dc-4cf0-a220-1d88686baa94;2020-07-19T08:14:37.014Z;Quebec Whiskey;2020-11-23T08:09:55.778Z;Charlie;2024;Alfa;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;E;1
c1b0ca2e-4999-4a97-9d32-e81800b95451;2018-04-11T22:01:39.901Z;Kilo Oscar;2020-05-21T08:32:18.247Z;Bravo Alfa;2024;Alfa;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;N;2
731c1e63-7a0d-48b1-8572-729c3fb88e71;2019-04-24T10:32:28.448Z;Java;2018-07-25T02:10:03.757Z;Bravo Sierra;2024;Golf;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;W;4
8637fe96-1c0d-488d-b222-c1871bec2bb5;2022-10-03T07:03:15.962Z;Romeo Uniform;2020-10-01T07:15:35.054Z;Whiskey Juliett;2024;Alfa;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;S;6
c34ce482-fe6b-4b2e-86ab-40f2b1bc82c1;2021-08-20T09:25:58.912Z;Mike November Bravo;2022-04-15T11:09:13.253Z;Java Yankee Charlie;2024;Alfa;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;X;12
f270dd27-f6b9-4e7b-b427-6d1bccc3c126;2019-05-07T12:17:17.024Z;Oscar Victor;2021-01-24T15:37:38.206Z;Lima Oscar;2024;Echo;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;E;33
38f52a13-d828-4211-b159-b921d7ce5ea5;2021-01-23T01:26:41.678Z;Victor Uniform Zulu;2018-04-14T03:54:38.846Z;Tango;2024;Alfa;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;E;5
0c93b0d7-3dd4-41a2-8366-82be4954b73b;2019-10-25T08:32:29.147Z;Tango Quebec Echo;2021-01-02T18:11:47.715Z;Juliett;2024;Alfa;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;S;11
c8312d38-5ba1-4624-8d6c-67d39030a97a;2019-08-16T06:36:19.811Z;Juliett Golf;2020-06-13T02:20:47.157Z;Lima Tango Foxtrot;2024;Alfa;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;D;22
75116b60-8e97-40c2-ad4d-f7a9e3955c06;2018-04-21T01:50:18.347Z;Romeo Quebec;2021-09-25T00:05:16.235Z;Java Mike;2024;Alfa;2020-07-19T08:14:37.014Z;2020-07-19T08:14:37.014Z;5105600117;CAD;123;S;34
